code,part_length,routability,probability
[CJprnF\[ArA^BrmN`a`MmrbcAa_b^dcUmrA_^raP_`^X[rbk[CI\qnEp[AqA^Bqma`q`amqbcAa^b_dcqmdA_^qaO^`_W[qbk\pq\KD]pGcqglAqmfeqefmqjoAf^g_ihqmiAhgqfS^e_Y]qhj\prpLD]\HcrglArmRefeQmrjoAf_g^ihVmrAhgrfT_e^Z]rhj,49,0,1.045615313684512e-22
cbr[X^`_ParbkAa_b^dcUmrA[CJprnF\[Ar^_ArmN`a`MmrB^cbq[W_`^OaqbkAa^b_dcqmdA[CI\qnEp[Aq^_Aqma`q`amqB^hgq]Y_e^SfqjoAf^g_ihqmiA\pq\KD]pGcqglAqmfeqefmqhjhgr]Z^e_TfrjoAf_g^ihVmrA\prpLD]\HcrglArmQefeRmrhj,49,0,6.48297995148317e-12
_^rB^AcbrmM`a`NmraP_`^X[rbkAAA[\FnrpJC[ArmUcd^b_a_^qB^Acbqma`q`amqaO^`_W[qbkAAA[pEnq\IC[Admqcd_b^ahgqjoAjhqmfeqefmqfS^e_Y]qglAqcGp]DK\qp\Aimqhi_g^fhgrjoAjhrmQefeRmrfT_e^Z]rglArcH\]DLprp\ArmVhi^g_f,49,0,1.432719502932056e-13
_^rbkA^BraP_`^X[rAa_b^dcUmrAcbrmM`a`NmrnF\[ArpJC[_^qbkA^BqaO^`_W[qAa^b_dcqmdAcbqma`q`amqnEp[Aq\IC[hgqjoAjhqfS^e_Y]qAf^g_ihqmiAlgqmfeqefmqcGp]DK\qp\hgrjoAjhrfT_e^Z]rAf_g^ihVmrAlgrmRefeQmrcH\]DLprp\,49,0,5.11539074987688e-11
rmUcd^b_aA^BrAcbr[X^`_ParmM`a`NmrnF\[A[CJprA_^rbkdmqcd_b^aA^BqAcbq[W_`^Oaqma`q`amqnEp[A[CI\qA_^qbkimqhi_g^fAjhqjoAq]Y_e^SfqmfeqefmqcGp]DK\qp\AhgqglrmVhi^g_fAjhrjoAr]Z^e_TfrmRefeQmrcH\]DLprp\Ahgrgl,49,0,2.2415059675040538e-07
rB^A_^r[X^`_ParbcAa_b^dcUmrAkbrmN`a`MmrnF\[ArpJC[qB^A_^q[W_`^OaqbcAa^b_dcqmdAkbqma`q`amqnEp[Aq\IC[qjoAlgq]Y_e^SfqghAf^g_ihqmiAjhqmfeqefmqcGp]DK\qp\rjoAlgr]Z^e_TfrghAf_g^ihVmrAjhrmQefeRmrcH\]DLprp\,49,0,9.109078824565131e-09
cbrA_^rmM`a`NmrB^A[CJprnF\[AraP_`^X[rbkAa_b^dcUmrcbqA_^qma`q`amqB^A[CI\qnEp[AqaO^`_W[qbkAa^b_dcqmdojqAlgqmfeqefmqhjA\pq\KD]pGcqfS^e_Y]qghAf^g_ihqmiojrAlgrmRefeQmrhjA\prpLD]\HcrfT_e^Z]rghAf_g^ihVmr,49,0,1.0717053910980212e-09
^BraP_`^X[rbcAkbrnF\[ArpJC[ArmM`a`Nmr^_Aa_b^dcUmr^BqaO^`_W[qbcAkbqnEp[Aq\IC[Aqma`q`amq^_Aa^b_dcqmdojqfS^e_Y]qhjAlgqcGp]DK\qp\AqmfeqefmqghAf^g_ihqmiojrfT_e^Z]rhjAlgrcH\]DLprp\ArmRefeQmrghAf_g^ihVmr,49,0,9.840309900255306e-08
kbrmN`a`Mmr[X^`_ParbcAa_b^dcUmrA^BrA[\FnrpJC[A_^rkbqma`q`amq[W_`^OaqbcAa^b_dcqmdA^BqA[pEnq\IC[A_^qlgqmfeqefmq]Y_e^SfqhjAf^g_ihqmiAojqcGp]DK\qp\AhgqlgrmQefeRmr]Z^e_TfrhjAf_g^ihVmrAojrcH\]DLprp\Ahgr,49,0,0.0
_^rmN`a`MmrAcbrB^Aa_b^dcUmrAkbraP_`^X[rA[\FnrpJC[_^qma`q`amqAcbqB^Aa^b_dcqmdAkbqaO^`_W[qA[pEnq\IC[hgqmfeqefmqglAqhjAf^g_ihqmiAojqfS^e_Y]qcGp]DK\qp\hgrmRefeQmrglArhjAf_g^ihVmrAojrfT_e^Z]rcH\]DLprp\,49,0,1.6740694941397294e-10
